id,symbol,date,openprice,maxprice,minprice,closingprice
1,CHCL,4/15/2010,890,900,890,890
2,CHCL,4/15/2010,890,900,890,890
3,NABIL,4/15/2010,2000,2040,2000,2000
4,NTC,4/15/2010,706,455,422,455
5,NTC,4/15/2010,455,455,422,455
6,NTC,4/15/2010,455,455,422,455
7,SBI,4/15/2010,682,700,682,682
8,SBI,4/15/2010,682,700,682,682
9,SCB,4/15/2010,2831,2850,2825,2831
10,SCB,4/15/2010,2831,2850,2825,2831
11,CHCL,4/19/2010,890,888,873,873
12,NABIL,4/19/2010,2000,2039,2000,2001
13,NTC,4/19/2010,455,445,441,441
14,SBI,4/19/2010,682,670,657,657
15,SCB,4/19/2010,2831,2830,2790,2801
16,CHCL,4/20/2010,873,870,860,860
17,NABIL,4/20/2010,2001,1975,1945,1945
18,NTC,4/20/2010,441,445,440,444
19,SBI,4/20/2010,657,650,632,632
20,SCB,4/20/2010,2801,2798,2767,2767
21,CHCL,4/21/2010,860,843,815,819
22,NABIL,4/21/2010,1945,1908,1800,1810
23,NTC,4/21/2010,444,444,438,443
24,SBI,4/21/2010,632,620,612,612
25,SCB,4/21/2010,2767,2712,2595,2595
26,CHCL,4/22/2010,819,845,820,845
27,NABIL,4/22/2010,1810,1831,1775,1831
28,NTC,4/22/2010,443,440,433,440
29,SBI,4/22/2010,612,603,580,600
30,SCB,4/22/2010,2595,2653,2523,2600
31,CHCL,4/25/2010,845,829,829,829
32,NABIL,4/25/2010,1831,1804,1770,1786
33,NTC,4/25/2010,440,455,440,455
34,SBI,4/25/2010,600,612,584,584
35,SCB,4/25/2010,2600,2600,2575,2591
36,CHCL,4/26/2010,829,829,813,829
37,NABIL,4/26/2010,1786,1785,1750,1760
38,NTC,4/26/2010,455,448,441,445
39,SBI,4/26/2010,584,573,566,566
40,SCB,4/26/2010,2591,2599,2519,2519
41,CHCL,4/27/2010,829,820,820,820
42,NABIL,4/27/2010,1760,1730,1695,1696
43,NTC,4/27/2010,445,448,433,445
44,SCB,4/27/2010,2519,2520,2450,2450
45,CHCL,4/28/2010,820,830,820,830
46,NABIL,4/28/2010,1696,1729,1665,1671
47,NTC,4/28/2010,445,440,438,440
48,SBI,4/28/2010,566,556,556,556
49,SCB,4/28/2010,2450,2460,2403,2445
50,CHCL,4/29/2010,830,873,840,873
51,NABIL,4/29/2010,1671,1838,1704,1838
52,NTC,4/29/2010,440,448,444,445
53,SCB,4/29/2010,2445,2650,2480,2650
54,CHCL,5/9/2010,873,873,860,860
55,NABIL,5/9/2010,1838,1840,1840,1840
56,NTC,5/9/2010,445,437,435,437
57,SBI,5/9/2010,556,570,565,565
58,SCB,5/9/2010,2650,2600,2560,2575
59,CHCL,5/10/2010,860,860,860,860
60,NABIL,5/10/2010,1840,1930,1876,1927
61,NTC,5/10/2010,437,440,440,440
62,SBI,5/10/2010,565,619,576,607
63,SCB,5/10/2010,2575,2610,2555,2610
64,CHCL,5/11/2010,860,860,860,860
65,NABIL,5/11/2010,1927,2005,1900,2005
66,NTC,5/11/2010,440,455,432,454
67,SBI,5/11/2010,607,647,607,647
68,SCB,5/11/2010,2610,2762,2662,2721
69,CHCL,5/12/2010,860,910,877,900
70,NABIL,5/12/2010,2005,2150,2010,2100
71,NTC,5/12/2010,454,480,459,480
72,SBI,5/12/2010,647,711,655,700
73,SCB,5/12/2010,2721,2881,2740,2810
74,CHCL,5/13/2010,900,954,901,901
75,NABIL,5/13/2010,2100,2310,2142,2200
76,NTC,5/13/2010,480,483,465,474
77,SBI,5/13/2010,700,770,714,770
78,SCB,5/13/2010,2810,3020,2866,2920
